case_id,codebook,cb_type,K,M,c,k_norm,theta0_mean,theta0_abs_mean,theta0_rms,P_mean,F0_mean_Hz,b_mean,b_voiced_mean,b_unvoiced_mean,P_voiced_mean,IS_mean,LSD_mean,SNR_LPC_dB,SNR_CELP_dB,b_voiced_ci_lo,b_voiced_ci_hi,proc_time_s
1,gauss64,gaussian,64,10,0.6,0.493677510999303,-0.00237273279013742,0.0269702364022324,0.049956710216674,85.5239049674725,93.5410982817337,0.828406979978665,0.892092827011045,0.808315131344613,76.3720135996079,13.3388652581221,63.3449319006382,14.079697165905,4.86441187637281,0.805659523262184,0.9728572173963,1.7713979
2,gauss64,gaussian,64,10,0.75,0.480935040389395,0.000137277500265,0.0294775466183124,0.0604039149439172,85.8344640547101,93.2026556943476,0.828727464822789,0.871305497245369,0.809958681183024,81.2433778485665,13.3388652581221,63.3449319006382,14.079697165905,5.72035721723388,0.786242824235924,0.95181670385132,1.6220227
3,gauss64,gaussian,64,10,0.9,0.489832444096986,0.000780622393542342,0.0302591565166501,0.0636600780122291,85.0419491406644,94.0712210954564,0.826843760243153,0.897363054033858,0.801676601326171,78.227974148493,13.3388652581221,63.3449319006382,14.079697165905,6.41844231733948,0.817118977069349,0.977678118971081,1.6277724
4,gauss64,gaussian,64,12,0.6,0.490847474553202,-0.00200881713106876,0.0270306507110687,0.0505992620374366,85.4207267962782,93.6540849047021,0.824130090058507,0.892291843489128,0.802195902591821,79.8021502082823,13.3368860843759,63.3403846901114,14.1857263737903,4.91498304060948,0.802530831301528,0.979813936144015,1.6164753
5,gauss64,gaussian,64,12,0.75,0.4992020731685,-0.000563492015008474,0.0270342942805908,0.0494108088656732,85.7222218709574,93.324692540551,0.827597540206493,0.894514974940364,0.800199496960945,76.1452401372213,13.3368860843759,63.3403846901114,14.1857263737903,5.87876363484431,0.811766017416227,0.977004692991624,1.5694859
6,gauss64,gaussian,64,12,0.9,0.488642173766282,-0.001900308047623,0.0292939457238419,0.054085718317879,86.1948165567191,92.8130056954844,0.827757638051626,0.88398290846834,0.806902703469493,77.8300355305072,13.3368860843759,63.3403846901114,14.1857263737903,6.4424730953287,0.802039905479277,0.965279763604781,1.7620159
7,gauss64,gaussian,64,16,0.6,0.485358641869924,-0.000287662149677713,0.0260714518017876,0.0484139041107773,85.1819137996192,93.9166501802143,0.825880102866901,0.908617246710919,0.798286471396236,81.6056052438128,13.3271517148977,63.2935636587889,14.3202941366289,4.8410309637558,0.823556293029017,0.997324314635324,1.7238214
8,gauss64,gaussian,64,16,0.75,0.488088974539964,-0.00168738749087041,0.0274487214479831,0.0526454350196587,84.7772425627034,94.3649469854248,0.83131949413984,0.883009635879621,0.810265951430827,82.2047016662583,13.3271517148977,63.2935636587889,14.3202941366289,5.76462840333582,0.801502181466049,0.964498760823098,1.5514682
9,gauss64,gaussian,64,16,0.9,0.502198400429019,-0.000985422469431876,0.0295414072865707,0.0583228422950756,86.1660763912681,92.8439629033718,0.823214458168363,0.865305894559144,0.801797375271571,77.2019480519481,13.3271517148977,63.2935636587889,14.3202941366289,6.53686645667718,0.783288724854187,0.947566226245881,1.5389486
10,gauss256,gaussian,256,10,0.6,0.499176303852365,0.00252243197142166,0.0309264227658673,0.0579346147966053,85.106555914434,93.9998089928958,0.800411365824068,0.879926102620643,0.776739017479753,77.8391356285224,13.3388652581221,63.3449319006382,14.079697165905,5.75927500786808,0.795384783639686,0.959438352271803,1.6557039
11,gauss256,gaussian,256,10,0.75,0.496824171494719,0.00274572836086507,0.0319683121422946,0.0625905257721196,86.4970271474046,92.4887278075666,0.812370296684404,0.885137932351733,0.78747391379165,78.7716950502328,13.3388652581221,63.3449319006382,14.079697165905,6.78946384603482,0.806324294495643,0.963638381203345,1.6450158
12,gauss256,gaussian,256,10,0.9,0.494115941638771,0.00212000425991775,0.0337060751087323,0.0662747080193609,85.1556126750181,93.9456572349569,0.826152414751639,0.903675602279048,0.801464214613588,77.7202217593727,13.3388652581221,63.3449319006382,14.079697165905,7.50371544690243,0.821372607080157,0.985525668194969,1.6942597
13,gauss256,gaussian,256,12,0.6,0.490184543714168,0.000577533688308924,0.0309928115420233,0.0577425786217367,84.8975803531198,94.2311897079411,0.80091563617839,0.88009529148949,0.777581661463569,78.7143653516295,13.3368860843759,63.3403846901114,14.1857263737903,5.78456653001669,0.799152502478974,0.961312578067814,1.7328272
