case_id,codebook,cb_type,K,M,c,wav,SNR_CELP_dB,SegSNR_CELP_dB,MSE,PESQ,STOI
1,gauss64,gaussian,64,10,0.6,frase.wav,9.07212398469937,7.51844550271394,0.00271546767565764,NaN,0.831276716937339
1,gauss64,gaussian,64,10,0.6,e.wav,8.4601175687502,3.09931430073959,0.00165622381412079,NaN,NaN
1,gauss64,gaussian,64,10,0.6,r.wav,7.72810933541419,2.13658421570144,0.000957786404142647,NaN,0.921225956649882
1,gauss64,gaussian,64,10,0.6,z.wav,7.77557892413831,3.19502837331288,0.000937608405680469,NaN,0.931216144065023
1,gauss64,gaussian,64,10,0.6,we were away a year ago_lrr.wav,8.51979994824749,8.37268698939618,0.00398421701767157,NaN,0.900701895808821
2,gauss64,gaussian,64,10,0.75,frase.wav,10.6272897066543,8.50055213752755,0.00189813923050571,NaN,0.848663972073385
2,gauss64,gaussian,64,10,0.75,e.wav,9.68827998849215,4.06377842121935,0.00124825347256058,NaN,NaN
2,gauss64,gaussian,64,10,0.75,r.wav,7.54444568550319,2.69592210254931,0.000999159985195413,NaN,0.936474456026702
2,gauss64,gaussian,64,10,0.75,z.wav,2.32775432094966,4.01726085215949,0.00328703215449885,NaN,0.881497203300417
2,gauss64,gaussian,64,10,0.75,we were away a year ago_lrr.wav,8.62546268911229,9.32427257271372,0.00388845172921121,NaN,0.912866297001528
3,gauss64,gaussian,64,10,0.9,frase.wav,10.5945256327808,8.79298533384765,0.00191251333785641,NaN,0.822015153189516
3,gauss64,gaussian,64,10,0.9,e.wav,14.1774672435412,5.01141571772316,0.000444001111588337,NaN,NaN
3,gauss64,gaussian,64,10,0.9,r.wav,9.80022717696218,3.50484019359682,0.000594370003906355,NaN,0.917404399731654
3,gauss64,gaussian,64,10,0.9,z.wav,8.79987938937068,5.03080866696338,0.000740613195540933,NaN,0.856228103375097
3,gauss64,gaussian,64,10,0.9,we were away a year ago_lrr.wav,9.44099807371041,9.75216167456638,0.00322272444713032,NaN,0.901564284829245
4,gauss64,gaussian,64,12,0.6,frase.wav,9.6333672585239,7.33534714565593,0.00238627400373404,NaN,0.876253524085572
4,gauss64,gaussian,64,12,0.6,e.wav,10.8569139113616,3.218158052367,0.000953760628386654,NaN,NaN
4,gauss64,gaussian,64,12,0.6,r.wav,7.16790316044097,2.54548813093111,0.00108965567592999,NaN,0.929593690397004
4,gauss64,gaussian,64,12,0.6,z.wav,4.96868281866229,2.86549217050671,0.0017894151200952,NaN,0.888805339397086
4,gauss64,gaussian,64,12,0.6,we were away a year ago_lrr.wav,8.2837028626248,8.61042970358666,0.00420680803443865,NaN,0.889179505534341
5,gauss64,gaussian,64,12,0.75,frase.wav,10.6822795951932,8.1683707839857,0.0018742567187589,NaN,0.839923867092862
5,gauss64,gaussian,64,12,0.75,e.wav,11.2715571629634,4.72403646962947,0.000866912101526375,NaN,NaN
5,gauss64,gaussian,64,12,0.75,r.wav,7.92064317351637,2.8669208488459,0.000916252735170172,NaN,0.926753469127831
5,gauss64,gaussian,64,12,0.75,z.wav,8.50050981442205,4.58695849547791,0.000793466148248273,NaN,0.929568306691906
5,gauss64,gaussian,64,12,0.75,we were away a year ago_lrr.wav,9.14524295637846,9.04753157628257,0.00344983787036509,NaN,0.908939154293198
6,gauss64,gaussian,64,12,0.9,frase.wav,11.4589696312219,8.92527217040038,0.00156732865145416,NaN,0.835802398311786
6,gauss64,gaussian,64,12,0.9,e.wav,12.0612722604545,4.87267649143094,0.000722775721180533,NaN,NaN
