case_id,codebook,cb_type,K,M,c,SNR_CELP_dB_mean,SegSNR_CELP_dB_mean,MSE_mean,PESQ_mean,STOI_mean
1,gauss64,gaussian,64,10,0.6,8.31114595224991,4.86441187637281,0.00205026066345462,NaN,0.896105178365266
2,gauss64,gaussian,64,10,0.75,7.76264647814231,5.72035721723388,0.00226420731439435,NaN,0.894875482100508
3,gauss64,gaussian,64,10,0.9,10.562619503273,6.41844231733948,0.00138284441920447,NaN,0.874302985281378
4,gauss64,gaussian,64,12,0.6,8.18211400232272,4.91498304060948,0.00208518269251691,NaN,0.895958014853501
5,gauss64,gaussian,64,12,0.75,9.50404654049468,5.87876363484431,0.00158014511481376,NaN,0.901296199301449
6,gauss64,gaussian,64,12,0.9,10.4585502784279,6.4424730953287,0.00131755817119183,NaN,0.89856221109918
7,gauss64,gaussian,64,16,0.6,8.11491073593445,4.8410309637558,0.00215998537294514,NaN,0.876689133082268
8,gauss64,gaussian,64,16,0.75,9.02238434785317,5.76462840333582,0.00179241938778313,NaN,0.899425217353537
9,gauss64,gaussian,64,16,0.9,10.7754821020157,6.53686645667718,0.00133083551004288,NaN,0.882441096542485
10,gauss256,gaussian,256,10,0.6,8.36740406533878,5.7016949484126,0.00192456793878682,NaN,0.902514966953823
11,gauss256,gaussian,256,10,0.75,9.72065616217866,6.5737818981313,0.0015524552129048,NaN,0.895733290998157
12,gauss256,gaussian,256,10,0.9,10.7702495216246,7.31857566248057,0.00121671667700101,NaN,0.893591428630498
13,gauss256,gaussian,256,12,0.6,9.15146464407441,5.82513055942801,0.00170298755272075,NaN,0.916152378163084
14,gauss256,gaussian,256,12,0.75,10.3282374837266,6.68556447702654,0.00145238647658849,NaN,0.908762449436647
15,gauss256,gaussian,256,12,0.9,11.6857903603754,7.51551724136201,0.00104685133577923,NaN,0.902048684409555
16,gauss256,gaussian,256,16,0.6,9.12516758109945,5.76845300923468,0.00164087514636344,NaN,0.898445333026764
17,gauss256,gaussian,256,16,0.75,10.1090111458354,6.66870838749137,0.00141902183667251,NaN,0.905243137467997
18,gauss256,gaussian,256,16,0.9,11.5882711585572,7.50556276094921,0.00106766090650671,NaN,0.882710583572267
19,gauss1024,gaussian,1024,10,0.6,10.2477674073397,6.80515922756867,0.00135314767080361,NaN,0.918036857329522
20,gauss1024,gaussian,1024,10,0.75,10.8268702356925,7.74862923696689,0.00113930236490839,NaN,0.92027982156038
21,gauss1024,gaussian,1024,10,0.9,12.7152423840326,8.66655704206615,0.000822769315651596,NaN,0.911627685213996
22,gauss1024,gaussian,1024,12,0.6,10.2274201386271,6.76989923038312,0.00129094502894388,NaN,0.918779479935365
23,gauss1024,gaussian,1024,12,0.75,10.9355152567098,7.77492587270849,0.00122085334619054,NaN,0.908576238677374
24,gauss1024,gaussian,1024,12,0.9,12.2859002763219,8.53104052569026,0.000879293629691292,NaN,0.912247347455487
25,gauss1024,gaussian,1024,16,0.6,9.41340925561098,6.53448790233873,0.0015051791937911,NaN,0.912453954939092
26,gauss1024,gaussian,1024,16,0.75,10.7242292177393,7.70076769820973,0.00115071123944019,NaN,0.905683596663585
27,gauss1024,gaussian,1024,16,0.9,12.1822519555022,8.54687757901062,0.000883880437777715,NaN,0.912512471007598
28,2pulses256,2pulses,256,10,0.6,9.24976667078334,5.72540559603597,0.00172703124299776,NaN,0.900309224374112
29,2pulses256,2pulses,256,10,0.75,10.5433806670777,6.46309720163869,0.00132834015296076,NaN,0.91745358825467
30,2pulses256,2pulses,256,10,0.9,12.0153321814579,7.56479927493411,0.00102094418550432,NaN,0.896871750760623
31,2pulses256,2pulses,256,12,0.6,8.23233802928446,5.51723306777456,0.00198397974527382,NaN,0.904562660410018
32,2pulses256,2pulses,256,12,0.75,11.0148410839644,6.65592054142487,0.00118773326739967,NaN,0.918693009906928
33,2pulses256,2pulses,256,12,0.9,12.0569072752219,7.68787665688764,0.000980346144169599,NaN,0.911352666347452
34,2pulses256,2pulses,256,16,0.6,9.40506233728429,5.74689944659287,0.00161540982301268,NaN,0.921608012474087
35,2pulses256,2pulses,256,16,0.75,10.7378611586742,6.87349485040266,0.00130372621041151,NaN,0.907789370101102
36,2pulses256,2pulses,256,16,0.9,11.6560706011138,7.70721236990048,0.00105279117413354,NaN,0.912410202564897
