perfil,bitrate_kbps,K,cb_type,M,c,wav,SNR_CELPq_dB,SegSNR_CELPq_dB,MSE,PESQ,STOI
Low-6k,5.85,64,gaussian,10,0.75,we were away a year ago_lrr.wav,1.82589154546181,2.58902925633732,0.0186094623668007,NaN,0.792840476420603
Low-6k,5.85,64,gaussian,10,0.75,frase.wav,4.15246320215805,3.71122546589127,0.00842967276059634,NaN,0.760462791974118
Low-6k,5.85,64,gaussian,10,0.75,e.wav,4.23211688009325,2.78950742918516,0.00438449009952523,NaN,NaN
Low-6k,5.85,64,gaussian,10,0.75,r.wav,3.80401422940573,2.16281349019625,0.00236416714983179,NaN,0.879281651894568
Low-6k,5.85,64,gaussian,10,0.75,z.wav,1.98431228602058,2.68528486560894,0.00355752659941969,NaN,0.863693591135133
Mid-9.6k,9.65,256,gaussian,12,0.75,we were away a year ago_lrr.wav,4.29463572151186,5.36871673566866,0.0105404562213997,NaN,0.816683486832107
Mid-9.6k,9.65,256,gaussian,12,0.75,frase.wav,5.40102708559504,5.28727674887294,0.00632345347136835,NaN,0.797483204421587
Mid-9.6k,9.65,256,gaussian,12,0.75,e.wav,9.89873629360184,4.20460750176175,0.00118920616614745,NaN,NaN
Mid-9.6k,9.65,256,gaussian,12,0.75,r.wav,7.71399605444502,3.24395489855106,0.000960903988397147,NaN,0.891631256882499
Mid-9.6k,9.65,256,gaussian,12,0.75,z.wav,9.53137506795343,3.99460682886236,0.000625809105420025,NaN,0.948849201760459
High-16k,16.05,1024,gaussian,16,0.75,we were away a year ago_lrr.wav,5.63323633942844,6.59667126005143,0.0077446063335268,NaN,0.851689321459594
High-16k,16.05,1024,gaussian,16,0.75,frase.wav,5.63975269737288,5.50458668521847,0.00598524270715044,NaN,0.76254512299644
High-16k,16.05,1024,gaussian,16,0.75,e.wav,5.52713077509638,4.86061350618856,0.00325400116620125,NaN,0.966337116434341
High-16k,16.05,1024,gaussian,16,0.75,r.wav,8.35031775328559,4.54186760547249,0.000829942158786937,NaN,0.906559393339142
High-16k,16.05,1024,gaussian,16,0.75,z.wav,7.58996315766096,4.75349939824721,0.000978550107078835,NaN,0.921438751507413
Alg-8k,7.85,256,2pulses,12,0.75,we were away a year ago_lrr.wav,4.20813884203386,5.46727204074326,0.0107524912237178,NaN,0.828980558250104
Alg-8k,7.85,256,2pulses,12,0.75,frase.wav,5.48362230899698,4.98420533004221,0.00620432879546427,NaN,0.808443717750337
Alg-8k,7.85,256,2pulses,12,0.75,e.wav,5.51314744868206,4.06112268771416,0.00326449521893921,NaN,0.954176961668057
Alg-8k,7.85,256,2pulses,12,0.75,r.wav,6.90104689958853,3.57326804562776,0.00115871041733241,NaN,0.921782902343817
Alg-8k,7.85,256,2pulses,12,0.75,z.wav,6.7095462880947,3.96537495592814,0.00119846334521819,NaN,0.922556001479613
