Subband,F_lo_Hz,F_hi_Hz,Lsig_A_dB,Tmin_A_dB,SMR_A_dB,Lsig_B_dB,Tmin_B_dB,SMR_B_dB
0,0,689.0625,3.12174642616832,-2193734.14725202,2193737.26899844,11.2404865776093,-2193734.14725202,2193745.38773859
1,689.0625,1378.125,7.74791919545869,-2193736.81228757,2193744.56020677,-8.4432529445704,-2193736.81228757,2193728.36903463
2,1378.125,2067.1875,-30.133407485658,-2193739.47487272,2193709.34146524,-27.9710132734786,-2193739.47487272,2193711.50385945
3,2067.1875,2756.25,-34.6089833208742,-2193742.71077818,2193708.10179486,-39.5794751659392,-2193742.71077818,2193703.13130301
4,2756.25,3445.3125,-39.4956510045027,-2193743.92605551,2193704.43040451,-54.3103699533627,-2193743.92605551,2193689.61568556
5,3445.3125,4134.375,-49.6720475829086,-2193743.79917669,2193694.1271291,-56.4993091304433,-2193743.79917669,2193687.29986756
6,4134.375,4823.4375,-62.3854684513306,-2193741.59453447,2193679.20906601,-63.141821274623,-2193741.59453447,2193678.45271319
7,4823.4375,5512.5,-66.4680132700189,-2193738.80062725,2193672.33261398,-63.9528956714878,-2193738.80062725,2193674.84773158
8,5512.5,6201.5625,-67.7401613805892,-2193737.31432619,2193669.57416481,-67.1823201055351,-2193737.31432619,2193670.13200608
9,6201.5625,6890.625,-69.8331846452501,-2193736.55596166,2193666.72277702,-67.9390421649584,-2193736.55596166,2193668.6169195
10,6890.625,7579.6875,-73.5363678706006,-2193735.79641605,2193662.26004818,-67.4112186022156,-2193735.79641605,2193668.38519745
11,7579.6875,8268.75,-75.0354088548928,-2193734.8587759,2193659.82336704,-68.9001151065033,-2193734.8587759,2193665.95866079
12,8268.75,8957.8125,-75.7447707613988,-2193733.45100377,2193657.70623301,-69.5306894308788,-2193733.45100377,2193663.92031434
13,8957.8125,9646.875,-77.1442857045298,-2193731.78646397,2193654.64217827,-72.7660031122383,-2193731.78646397,2193659.02046086
14,9646.875,10335.9375,-78.3282916942777,-2193729.34856525,2193651.02027356,-73.0913548794984,-2193729.34856525,2193656.25721037
15,10335.9375,11025,-80.6457500571288,-2193726.72231698,2193646.07656692,-73.7774721562515,-2193726.72231698,2193652.94484482
16,11025,11714.0625,-79.8161833198526,-2193723.01675328,2193643.20056996,-74.8638931665136,-2193723.01675328,2193648.15286012
17,11714.0625,12403.125,-80.3869684026577,-2193717.5981763,2193637.21120789,-76.4305686077742,-2193717.5981763,2193641.16760769
18,12403.125,13092.1875,-84.0977690900286,-2193712.49881818,2193628.40104909,-76.2647664093148,-2193712.49881818,2193636.23405177
19,13092.1875,13781.25,-81.588639157811,-2193705.57143548,2193623.98279633,-76.6435439875143,-2193705.57143548,2193628.9278915
20,13781.25,14470.3125,-83.2236308571701,-2193701.15209994,2193617.92846909,-77.7468418215268,-2193701.15209994,2193623.40525812
21,14470.3125,15159.375,-83.2127734592202,-2193689.55613622,2193606.34336276,-81.7898346808118,-2193689.55613622,2193607.76630153
22,15159.375,15848.4375,-84.8117495880338,-2193681.86948964,2193597.05774005,-80.9362597624492,-2193681.86948964,2193600.93322988
23,15848.4375,16537.5,-85.865666489642,-2193671.24800731,2193585.38234082,-81.7685640230427,-2193671.24800731,2193589.47944329
24,16537.5,17226.5625,-84.0657014473433,-2193661.67153081,2193577.60582937,-83.7391554881742,-2193661.67153081,2193577.93237533
25,17226.5625,17915.625,-86.1519453042172,-2193652.09505432,2193565.94310902,-83.2074829219852,-2193652.09505432,2193568.8875714
26,17915.625,18604.6875,-86.6166967620295,-2193642.51857783,2193555.90188106,-83.4406873706257,-2193642.51857783,2193559.07789045
27,18604.6875,19293.75,-87.0210871495115,-2193632.94210133,2193545.92101418,-84.0648395155926,-2193632.94210133,2193548.87726181
28,19293.75,19982.8125,-87.1006769789073,-2193623.36562484,2193536.26494786,-85.8085104219025,-2193623.36562484,2193537.55711441
29,19982.8125,20671.875,-88.7455088913442,-2193613.78914834,2193525.04363945,-85.4613318102415,-2193613.78914834,2193528.32781653
30,20671.875,21360.9375,-89.1554855850535,-2193604.21267185,2193515.05718626,-86.0444067591335,-2193604.21267185,2193518.16826509
31,21360.9375,22050,-89.9035847601701,-2193594.63619535,2193504.73261059,-87.5297759338128,-2193594.63619535,2193507.10641942
